time,ax,ay,az,wx,wy,wz,
0.081,0.35,0.12,-0.57,-0.32,-1.00,0.28,
0.084,0.35,0.12,-0.57,-0.29,-1.00,0.26,
0.086,0.65,-0.74,-0.48,-0.29,-1.00,0.26,
0.087,0.65,-0.74,-0.48,-0.27,-1.01,0.25,
0.094,0.83,-1.37,-0.60,-0.27,-1.01,0.25,
0.095,0.83,-1.37,-0.60,-0.24,-1.01,0.22,
0.095,0.83,-1.37,-0.60,-0.22,-1.01,0.20,
0.096,0.83,-1.37,-0.60,-0.20,-0.99,0.17,
0.097,0.06,-1.21,-1.63,-0.20,-0.99,0.17,
0.097,0.06,-1.21,-1.63,-0.19,-0.92,0.17,
0.099,0.06,-1.21,-1.63,-0.19,-0.79,0.19,
0.107,-1.69,-0.31,-3.50,-0.19,-0.79,0.19,
0.108,-1.69,-0.31,-3.50,-0.19,-0.65,0.24,
0.109,-1.69,-0.31,-3.50,-0.20,-0.52,0.30,
0.11,-2.09,0.22,-3.43,-0.20,-0.52,0.30,
0.11,-2.09,0.22,-3.43,-0.21,-0.43,0.36,
0.11,-2.09,0.22,-3.43,-0.21,-0.39,0.42,
0.111,-1.64,0.34,-1.61,-0.21,-0.39,0.42,
0.111,-1.64,0.34,-1.61,-0.20,-0.39,0.49,
0.114,-1.64,0.34,-1.61,-0.18,-0.44,0.53,
0.117,-1.05,0.31,0.55,-0.18,-0.44,0.53,
0.117,-1.05,0.31,0.55,-0.15,-0.52,0.57,
0.119,-1.05,0.31,0.55,-0.13,-0.59,0.60,
0.127,-0.64,0.30,1.40,-0.13,-0.59,0.60,
0.128,-0.64,0.30,1.40,-0.10,-0.65,0.63,
0.128,-0.64,0.30,1.40,-0.07,-0.69,0.65,
0.128,-0.45,0.34,1.00,-0.07,-0.69,0.65,
0.129,-0.45,0.34,1.00,-0.05,-0.71,0.67,
0.129,-0.45,0.34,1.00,-0.05,-0.73,0.69,
0.131,-0.36,0.36,0.40,-0.05,-0.73,0.69,
0.132,-0.36,0.36,0.40,-0.04,-0.74,0.71,
0.134,-0.36,0.36,0.40,-0.04,-0.76,0.73,
0.136,-0.36,0.44,0.08,-0.04,-0.76,0.73,
0.137,-0.36,0.44,0.08,-0.05,-0.77,0.76,
0.14,-0.36,0.44,0.08,-0.05,-0.78,0.78,
0.142,-0.19,0.49,-0.09,-0.05,-0.78,0.78,
0.142,-0.19,0.49,-0.09,-0.05,-0.79,0.80,
0.143,-0.19,0.49,-0.09,-0.06,-0.80,0.82,
0.148,0.06,0.42,-0.11,-0.06,-0.80,0.82,
0.148,0.06,0.42,-0.11,-0.07,-0.82,0.84,
0.149,0.06,0.42,-0.11,-0.07,-0.84,0.85,
0.153,0.70,-0.01,0.48,-0.07,-0.84,0.85,
0.154,0.70,-0.01,0.48,-0.08,-0.89,0.85,
0.154,0.70,-0.01,0.48,-0.08,-0.95,0.83,
0.157,1.73,-0.87,1.55,-0.08,-0.95,0.83,
0.158,1.73,-0.87,1.55,-0.08,-1.05,0.80,
0.16,1.73,-0.87,1.55,-0.08,-1.15,0.76,
0.165,2.58,-1.77,2.17,-0.08,-1.15,0.76,
0.166,2.58,-1.77,2.17,-0.08,-1.25,0.70,
0.166,2.58,-1.77,2.17,-0.08,-1.34,0.64,
0.167,3.07,-2.54,2.47,-0.08,-1.34,0.64,
0.167,3.07,-2.54,2.47,-0.09,-1.44,0.57,
0.17,3.07,-2.54,2.47,-0.09,-1.52,0.49,
0.173,3.42,-3.12,2.54,-0.09,-1.52,0.49,
0.174,3.42,-3.12,2.54,-0.09,-1.60,0.40,
0.174,3.42,-3.12,2.54,-0.09,-1.67,0.32,
0.176,3.52,-3.38,2.64,-0.09,-1.67,0.32,
0.177,3.52,-3.38,2.64,-0.09,-1.74,0.24,
0.18,3.52,-3.38,2.64,-0.09,-1.78,0.15,
0.181,3.29,-3.41,2.27,-0.09,-1.78,0.15,
0.182,3.29,-3.41,2.27,-0.09,-1.79,0.07,
0.187,2.82,-3.11,1.65,-0.09,-1.79,0.07,
0.188,2.82,-3.11,1.65,-0.09,-1.77,-0.00,
0.188,2.82,-3.11,1.65,-0.09,-1.73,-0.07,
0.189,2.82,-3.11,1.65,-0.08,-1.67,-0.13,
0.192,2.36,-2.52,1.34,-0.08,-1.67,-0.13,
0.192,2.36,-2.52,1.34,-0.08,-1.60,-0.17,
0.194,2.36,-2.52,1.34,-0.07,-1.54,-0.20,
0.196,1.92,-1.79,1.14,-0.07,-1.54,-0.20,
0.197,1.92,-1.79,1.14,-0.06,-1.48,-0.23,
0.2,1.92,-1.79,1.14,-0.06,-1.42,-0.24,
0.211,1.92,-1.79,1.14,-0.05,-1.37,-0.25,
0.212,1.40,-0.99,1.06,-0.05,-1.37,-0.25,
0.213,1.40,-0.99,1.06,-0.04,-1.34,-0.24,
0.213,0.80,-0.33,1.10,-0.04,-1.34,-0.24,
0.214,0.80,-0.33,1.10,-0.03,-1.31,-0.23,
0.214,0.80,-0.33,1.10,-0.02,-1.28,-0.20,
0.215,0.27,0.22,0.83,-0.02,-1.28,-0.20,
0.215,0.27,0.22,0.83,-0.02,-1.26,-0.17,
0.215,0.27,0.22,0.83,-0.02,-1.26,-0.13,
0.217,-0.12,0.64,0.63,-0.02,-1.26,-0.13,
0.219,-0.12,0.64,0.63,-0.02,-1.26,-0.09,
0.22,-0.12,0.64,0.63,-0.02,-1.27,-0.04,
0.222,-0.47,0.72,-0.01,-0.02,-1.27,-0.04,
0.222,-0.47,0.72,-0.01,-0.03,-1.25,0.00,
0.224,-0.47,0.72,-0.01,-0.04,-1.21,0.05,
0.227,-0.66,0.77,-0.81,-0.04,-1.21,0.05,
0.228,-0.66,0.77,-0.81,-0.06,-1.17,0.09,
0.23,-0.66,0.77,-0.81,-0.09,-1.11,0.12,
0.232,-0.67,0.85,-1.72,-0.09,-1.11,0.12,
0.233,-0.67,0.85,-1.72,-0.12,-1.04,0.16,
0.234,-0.67,0.85,-1.72,-0.16,-0.96,0.20,
0.238,-0.66,0.98,-2.80,-0.16,-0.96,0.20,
0.238,-0.66,0.98,-2.80,-0.20,-0.85,0.24,
0.239,-0.66,0.98,-2.80,-0.24,-0.74,0.28,
0.242,-0.72,1.08,-3.66,-0.24,-0.74,0.28,
0.243,-0.72,1.08,-3.66,-0.30,-0.61,0.32,
0.245,-0.72,1.08,-3.66,-0.35,-0.49,0.36,
0.247,-0.75,1.02,-4.20,-0.35,-0.49,0.36,
0.247,-0.75,1.02,-4.20,-0.41,-0.36,0.41,
0.249,-0.75,1.02,-4.20,-0.47,-0.24,0.44,
0.254,-0.67,0.79,-4.55,-0.47,-0.24,0.44,
0.255,-0.67,0.79,-4.55,-0.54,-0.12,0.47,
0.256,-0.67,0.79,-4.55,-0.60,-0.00,0.50,
0.257,-0.42,0.48,-4.71,-0.60,-0.00,0.50,
0.257,-0.42,0.48,-4.71,-0.68,0.11,0.52,
0.26,-0.42,0.48,-4.71,-0.75,0.21,0.53,
0.262,-0.01,0.11,-4.57,-0.75,0.21,0.53,
0.262,-0.01,0.11,-4.57,-0.82,0.31,0.54,
0.264,-0.01,0.11,-4.57,-0.90,0.39,0.54,
0.266,0.46,-0.25,-4.25,-0.90,0.39,0.54,
0.267,0.46,-0.25,-4.25,-0.98,0.46,0.53,
0.27,0.46,-0.25,-4.25,-1.05,0.53,0.52,
0.271,0.87,-0.56,-4.07,-1.05,0.53,0.52,
0.272,0.87,-0.56,-4.07,-1.13,0.59,0.50,
0.274,0.87,-0.56,-4.07,-1.20,0.65,0.48,
0.277,1.15,-0.77,-3.65,-1.20,0.65,0.48,
0.278,1.15,-0.77,-3.65,-1.27,0.69,0.45,
0.28,1.15,-0.77,-3.65,-1.34,0.71,0.42,
0.281,1.30,-0.91,-2.79,-1.34,0.71,0.42,
0.282,1.30,-0.91,-2.79,-1.40,0.71,0.40,
0.286,1.30,-0.91,-2.79,-1.46,0.66,0.37,
0.287,1.51,-1.10,-1.12,-1.46,0.66,0.37,
0.288,1.51,-1.10,-1.12,-1.51,0.58,0.33,
0.289,1.51,-1.10,-1.12,-1.56,0.48,0.29,
0.294,1.56,-1.48,-0.42,-1.56,0.48,0.29,
0.294,1.56,-1.48,-0.42,-1.60,0.36,0.25,
0.295,1.56,-1.48,-0.42,-1.64,0.25,0.20,
0.298,1.50,-1.53,0.27,-1.64,0.25,0.20,
0.298,1.50,-1.53,0.27,-1.67,0.13,0.16,
0.299,1.50,-1.53,0.27,-1.70,0.01,0.12,
0.312,1.31,-1.39,0.87,-1.70,0.01,0.12,
0.313,1.31,-1.39,0.87,-1.71,-0.10,0.08,
0.314,1.31,-1.39,0.87,-1.72,-0.23,0.05,
0.314,1.31,-1.39,0.87,-1.71,-0.36,0.02,
0.315,1.09,-1.00,1.68,-1.71,-0.36,0.02,
0.315,1.09,-1.00,1.68,-1.69,-0.48,0.01,
0.316,0.39,-0.15,1.92,-1.69,-0.48,0.01,
0.316,0.39,-0.15,1.92,-1.64,-0.57,0.01,
0.317,0.39,-0.15,1.92,-1.58,-0.63,0.03,
0.317,-0.13,0.71,1.94,-1.58,-0.63,0.03,
0.318,-0.13,0.71,1.94,-1.50,-0.67,0.06,
0.32,-0.13,0.71,1.94,-1.40,-0.72,0.11,
0.322,0.44,1.90,2.55,-1.40,-0.72,0.11,
0.322,0.44,1.90,2.55,-1.28,-0.75,0.18,
0.325,0.44,1.90,2.55,-1.14,-0.75,0.24,
0.327,-0.41,2.70,2.31,-1.14,-0.75,0.24,
0.333,-0.41,2.70,2.31,-0.99,-0.71,0.31,
0.333,-0.41,2.70,2.31,-0.84,-0.62,0.38,
0.334,-1.07,2.79,2.31,-0.84,-0.62,0.38,
0.334,-1.07,2.79,2.31,-0.68,-0.55,0.47,
0.337,-1.07,2.79,2.31,-0.50,-0.55,0.55,
0.338,-0.61,3.02,3.01,-0.50,-0.55,0.55,
0.339,-0.61,3.02,3.01,-0.33,-0.57,0.63,
0.34,-0.61,3.02,3.01,-0.16,-0.60,0.70,
0.343,-0.08,2.43,2.10,-0.16,-0.60,0.70,
0.344,-0.08,2.43,2.10,-0.01,-0.61,0.75,
0.346,-0.08,2.43,2.10,0.13,-0.59,0.78,
0.347,-0.08,2.43,2.10,0.24,-0.52,0.79,
0.348,0.71,1.08,0.24,0.24,-0.52,0.79,
0.351,0.71,1.08,0.24,0.34,-0.39,0.78,
0.354,1.38,-0.17,-2.05,0.34,-0.39,0.78,
0.356,1.38,-0.17,-2.05,0.41,-0.22,0.76,
0.356,1.38,-0.17,-2.05,0.47,-0.01,0.73,
0.357,1.70,-0.87,-4.29,0.47,-0.01,0.73,
0.358,1.70,-0.87,-4.29,0.51,0.26,0.71,
0.36,1.70,-0.87,-4.29,0.53,0.55,0.69,
0.362,2.85,-1.20,-5.69,0.53,0.55,0.69,
0.363,2.85,-1.20,-5.69,0.54,0.84,0.68,
0.365,2.85,-1.20,-5.69,0.54,1.12,0.67,
0.368,2.91,-1.13,-5.98,0.54,1.12,0.67,
0.372,2.91,-1.13,-5.98,0.55,1.39,0.68,
0.373,2.91,-1.13,-5.98,0.55,1.64,0.69,
0.373,1.82,-1.19,-5.82,0.55,1.64,0.69,
0.374,1.82,-1.19,-5.82,0.56,1.90,0.71,
0.374,1.82,-1.19,-5.82,0.57,2.15,0.74,
0.379,0.60,-1.32,-5.69,0.57,2.15,0.74,
0.38,0.60,-1.32,-5.69,0.58,2.40,0.77,
0.38,0.60,-1.32,-5.69,0.58,2.63,0.80,
0.383,-0.67,-1.46,-5.61,0.58,2.63,0.80,
0.383,-0.67,-1.46,-5.61,0.59,2.85,0.85,
0.388,-1.73,-1.74,-5.37,0.59,2.85,0.85,
0.388,-1.73,-1.74,-5.37,0.59,3.04,0.90,
0.39,-1.73,-1.74,-5.37,0.59,3.21,0.94,
0.39,-1.73,-1.74,-5.37,0.58,3.28,0.98,
0.392,-3.36,-3.76,-2.33,0.58,3.28,0.98,
0.393,-3.36,-3.76,-2.33,0.54,3.14,0.97,
0.394,-3.36,-3.76,-2.33,0.44,2.72,0.93,
0.397,-7.31,-3.73,2.40,0.44,2.72,0.93,
0.398,-7.31,-3.73,2.40,0.29,2.17,0.91,
0.399,-7.31,-3.73,2.40,0.10,1.64,0.92,
0.417,-5.77,-3.35,0.76,0.10,1.64,0.92,
0.419,-5.77,-3.35,0.76,-0.10,1.17,0.91,
0.42,-5.77,-3.35,0.76,-0.30,0.76,0.86,
0.42,-2.86,-4.18,-1.93,-0.30,0.76,0.86,
0.421,-2.86,-4.18,-1.93,-0.50,0.45,0.78,
0.422,-2.86,-4.18,-1.93,-0.70,0.25,0.69,
0.422,-1.23,-3.57,-5.02,-0.70,0.25,0.69,
0.423,-1.23,-3.57,-5.02,-0.90,0.14,0.59,
0.424,-1.23,-3.57,-5.02,-1.08,0.11,0.48,
0.424,-1.23,-3.57,-5.02,-1.24,0.11,0.37,
0.425,0.74,-2.56,-6.23,-1.24,0.11,0.37,
0.426,0.74,-2.56,-6.23,-1.39,0.12,0.26,
0.426,2.56,-1.29,-5.61,-1.39,0.12,0.26,
0.427,2.56,-1.29,-5.61,-1.52,0.15,0.15,
0.427,2.56,-1.29,-5.61,-1.64,0.18,0.04,
0.428,3.84,-0.16,-4.52,-1.64,0.18,0.04,
0.429,3.84,-0.16,-4.52,-1.74,0.22,-0.07,
0.431,3.84,-0.16,-4.52,-1.83,0.27,-0.18,
0.433,4.16,0.98,-3.42,-1.83,0.27,-0.18,
0.434,4.16,0.98,-3.42,-1.91,0.32,-0.27,
0.435,4.16,0.98,-3.42,-1.98,0.36,-0.36,
0.438,4.03,1.47,-2.53,-1.98,0.36,-0.36,
0.439,4.03,1.47,-2.53,-2.04,0.42,-0.45,
0.439,4.03,1.47,-2.53,-2.09,0.51,-0.53,
0.442,3.42,1.16,-2.23,-2.09,0.51,-0.53,
0.442,3.42,1.16,-2.23,-2.14,0.63,-0.62,
0.445,3.42,1.16,-2.23,-2.19,0.75,-0.69,
0.447,2.84,0.30,-1.80,-2.19,0.75,-0.69,
0.447,2.84,0.30,-1.80,-2.23,0.87,-0.77,
0.45,2.84,0.30,-1.80,-2.26,0.95,-0.84,
0.453,2.58,-0.50,-0.84,-2.26,0.95,-0.84,
0.454,2.58,-0.50,-0.84,-2.29,0.99,-0.90,
0.455,2.58,-0.50,-0.84,-2.31,0.99,-0.93,
0.457,2.12,-1.19,0.64,-2.31,0.99,-0.93,
0.458,2.12,-1.19,0.64,-2.31,0.94,-0.94,
0.46,2.12,-1.19,0.64,-2.29,0.83,-0.95,
0.463,1.95,-0.72,2.34,-2.29,0.83,-0.95,
0.464,1.95,-0.72,2.34,-2.26,0.67,-0.95,
0.464,1.95,-0.72,2.34,-2.21,0.48,-0.94,
0.468,1.45,-0.06,3.55,-2.21,0.48,-0.94,
0.469,1.45,-0.06,3.55,-2.15,0.27,-0.93,
0.471,1.45,-0.06,3.55,-2.07,0.07,-0.92,
0.472,1.20,0.27,3.79,-2.07,0.07,-0.92,
0.473,1.20,0.27,3.79,-1.98,-0.12,-0.92,
0.475,1.20,0.27,3.79,-1.87,-0.29,-0.93,
0.478,1.32,0.15,3.41,-1.87,-0.29,-0.93,
0.479,1.32,0.15,3.41,-1.76,-0.44,-0.95,
0.479,1.32,0.15,3.41,-1.64,-0.57,-0.97,
0.483,1.85,-0.17,3.04,-1.64,-0.57,-0.97,
0.486,1.85,-0.17,3.04,-1.52,-0.69,-1.01,
0.487,1.85,-0.17,3.04,-1.40,-0.79,-1.07,
0.488,2.24,-0.54,2.87,-1.40,-0.79,-1.07,
0.488,2.24,-0.54,2.87,-1.28,-0.89,-1.13,
0.489,2.24,-0.54,2.87,-1.16,-1.00,-1.20,
0.492,2.35,-0.89,3.24,-1.16,-1.00,-1.20,
0.493,2.35,-0.89,3.24,-1.04,-1.12,-1.28,
0.498,2.35,-0.89,3.24,-0.91,-1.25,-1.35,
0.498,1.72,-1.14,3.69,-0.91,-1.25,-1.35,
0.499,1.72,-1.14,3.69,-0.78,-1.37,-1.41,
0.501,1.72,-1.14,3.69,-0.64,-1.51,-1.47,
0.508,0.84,-1.39,4.11,-0.64,-1.51,-1.47,
0.509,0.84,-1.39,4.11,-0.50,-1.65,-1.53,
0.509,0.84,-1.39,4.11,-0.35,-1.79,-1.58,
0.51,-0.10,-1.73,4.33,-0.35,-1.79,-1.58,
0.51,-0.10,-1.73,4.33,-0.21,-1.94,-1.64,
0.511,-0.10,-1.73,4.33,-0.06,-2.08,-1.68,
0.513,-1.00,-2.02,4.18,-0.06,-2.08,-1.68,
0.513,-1.00,-2.02,4.18,0.08,-2.23,-1.73,
0.515,-1.00,-2.02,4.18,0.22,-2.35,-1.76,
0.518,-1.78,-2.13,3.47,0.22,-2.35,-1.76,
0.519,-1.78,-2.13,3.47,0.36,-2.45,-1.79,
0.521,-1.78,-2.13,3.47,0.50,-2.49,-1.81,
0.523,-2.47,-2.06,2.39,0.50,-2.49,-1.81,
0.524,-2.47,-2.06,2.39,0.64,-2.49,-1.82,
0.526,-2.47,-2.06,2.39,0.79,-2.47,-1.82,
0.528,-3.18,-1.86,2.07,0.79,-2.47,-1.82,
0.528,-3.18,-1.86,2.07,0.94,-2.43,-1.80,
0.529,-3.18,-1.86,2.07,1.08,-2.37,-1.78,
0.533,-3.57,-1.95,1.64,1.08,-2.37,-1.78,
0.534,-3.57,-1.95,1.64,1.23,-2.28,-1.74,
0.535,-3.57,-1.95,1.64,1.38,-2.18,-1.71,
0.538,-3.62,-2.13,1.14,1.38,-2.18,-1.71,
0.539,-3.62,-2.13,1.14,1.52,-2.07,-1.66,
0.541,-3.62,-2.13,1.14,1.65,-1.96,-1.61,
0.544,-4.04,-1.88,-1.73,1.65,-1.96,-1.61,
0.545,-4.04,-1.88,-1.73,1.71,-1.69,-1.50,
0.545,-4.04,-1.88,-1.73,1.45,-0.84,-1.27,
0.548,-5.14,-0.32,-10.75,1.45,-0.84,-1.27,
0.548,-5.14,-0.32,-10.75,1.17,-0.06,-0.98,
0.551,-5.14,-0.32,-10.75,0.98,0.40,-0.66,
0.557,-5.37,1.11,-5.40,0.98,0.40,-0.66,
0.558,-5.37,1.11,-5.40,0.80,0.74,-0.32,
0.558,-5.37,1.11,-5.40,0.60,1.08,0.00,
0.559,-5.37,1.11,-5.40,0.39,1.32,0.30,
0.559,-4.67,2.12,-4.00,0.39,1.32,0.30,
0.56,-4.67,2.12,-4.00,0.21,1.39,0.55,
0.563,-3.04,2.38,-0.93,0.21,1.39,0.55,
0.565,-3.04,2.38,-0.93,0.03,1.35,0.74,
0.566,-3.04,2.38,-0.93,-0.17,1.23,0.90,
0.57,-1.36,2.15,-0.07,-0.17,1.23,0.90,
0.573,-1.36,2.15,-0.07,-0.40,1.06,1.01,
0.573,0.34,1.38,-0.20,-0.40,1.06,1.01,
0.574,0.34,1.38,-0.20,-0.64,0.85,1.07,
0.575,0.34,1.38,-0.20,-0.87,0.65,1.09,
0.576,0.34,1.38,-0.20,-1.09,0.48,1.08,
0.577,1.73,0.53,-1.38,-1.09,0.48,1.08,
0.578,1.73,0.53,-1.38,-1.30,0.35,1.04,
0.58,1.73,0.53,-1.38,-1.49,0.29,0.98,
0.582,2.03,0.13,-2.62,-1.49,0.29,0.98,
0.583,2.03,0.13,-2.62,-1.67,0.28,0.93,
0.587,2.03,0.13,-2.62,-1.84,0.30,0.88,
0.589,1.67,0.02,-2.85,-1.84,0.30,0.88,
0.59,1.67,0.02,-2.85,-1.99,0.36,0.85,
0.591,1.67,0.02,-2.85,-2.13,0.46,0.85,
0.593,1.01,-0.06,-3.57,-2.13,0.46,0.85,
0.594,1.01,-0.06,-3.57,-2.28,0.65,0.88,
0.594,1.01,-0.06,-3.57,-2.43,0.86,0.93,
0.597,0.56,-0.15,-2.69,-2.43,0.86,0.93,
0.598,0.56,-0.15,-2.69,-2.54,1.03,0.99,
0.6,0.56,-0.15,-2.69,-2.63,1.11,1.06,
0.609,0.28,-0.26,-0.01,-2.63,1.11,1.06,
0.61,0.28,-0.26,-0.01,-2.67,1.11,1.12,
0.611,0.28,-0.26,-0.01,-2.68,1.05,1.17,
0.611,-0.16,-0.13,2.04,-2.68,1.05,1.17,
0.611,-0.16,-0.13,2.04,-2.67,0.95,1.22,
0.612,-0.16,-0.13,2.04,-2.63,0.81,1.27,
0.613,-0.16,-0.13,2.04,-2.56,0.64,1.30,
0.616,-0.65,-0.04,3.59,-2.56,0.64,1.30,
0.616,-0.65,-0.04,3.59,-2.48,0.44,1.33,
0.617,-0.65,-0.04,3.59,-2.37,0.22,1.35,
0.618,-0.65,-0.21,4.76,-2.37,0.22,1.35,
0.621,-0.65,-0.21,4.76,-2.23,-0.01,1.36,
0.624,-0.13,-0.58,5.49,-2.23,-0.01,1.36,
0.626,-0.13,-0.58,5.49,-2.07,-0.25,1.36,
0.627,-0.13,-0.58,5.49,-1.90,-0.50,1.35,
0.629,0.51,-0.89,6.15,-1.90,-0.50,1.35,
0.63,0.51,-0.89,6.15,-1.70,-0.76,1.33,
0.63,0.51,-0.89,6.15,-1.48,-1.03,1.30,
0.634,1.03,-1.09,6.92,-1.48,-1.03,1.30,
0.634,1.03,-1.09,6.92,-1.26,-1.32,1.26,
0.637,1.03,-1.09,6.92,-1.01,-1.63,1.21,
0.638,1.43,-1.27,7.53,-1.01,-1.63,1.21,
0.638,1.43,-1.27,7.53,-0.76,-1.94,1.14,
0.64,1.43,-1.27,7.53,-0.50,-2.25,1.07,
0.642,1.74,-1.46,7.58,-0.50,-2.25,1.07,
0.643,1.74,-1.46,7.58,-0.25,-2.56,0.98,
0.646,1.74,-1.46,7.58,0.00,-2.87,0.88,
0.648,1.97,-1.58,7.16,0.00,-2.87,0.88,
0.648,1.97,-1.58,7.16,0.24,-3.18,0.78,
0.65,1.97,-1.58,7.16,0.46,-3.48,0.68,
0.654,2.03,-1.42,6.32,0.46,-3.48,0.68,
0.656,2.03,-1.42,6.32,0.67,-3.78,0.58,
0.657,2.03,-1.42,6.32,0.85,-4.07,0.49,
0.658,1.87,-1.05,4.90,0.85,-4.07,0.49,
0.658,1.87,-1.05,4.90,1.01,-4.33,0.40,
0.66,1.87,-1.05,4.90,1.13,-4.58,0.32,
0.666,1.57,-0.63,3.12,1.13,-4.58,0.32,
0.667,1.57,-0.63,3.12,1.23,-4.80,0.25,
0.667,1.57,-0.63,3.12,1.30,-4.99,0.18,
0.668,1.09,-0.29,1.31,1.30,-4.99,0.18,
0.671,1.09,-0.29,1.31,1.35,-5.17,0.14,
0.672,1.09,-0.29,1.31,1.37,-5.33,0.11,
0.673,0.48,-0.02,-0.23,1.37,-5.33,0.11,
0.673,0.48,-0.02,-0.23,1.37,-5.48,0.10,
0.675,0.48,-0.02,-0.23,1.36,-5.62,0.11,
0.678,-0.05,0.09,-1.42,1.36,-5.62,0.11,
0.679,-0.05,0.09,-1.42,1.33,-5.76,0.12,
0.681,-0.05,0.09,-1.42,1.29,-5.89,0.14,
0.684,0.08,0.06,-2.26,1.29,-5.89,0.14,
0.684,0.08,0.06,-2.26,1.24,-6.01,0.14,
0.688,0.08,0.06,-2.26,1.18,-6.12,0.14,
0.689,-0.02,0.08,-3.09,1.18,-6.12,0.14,
0.69,-0.02,0.08,-3.09,1.12,-6.20,0.13,
0.69,-0.02,0.08,-3.09,1.05,-6.25,0.11,
0.693,-0.66,0.14,-3.77,1.05,-6.25,0.11,
0.693,-0.66,0.14,-3.77,0.99,-6.28,0.10,
0.695,-0.66,0.14,-3.77,0.91,-6.26,0.10,
0.698,-1.68,0.09,-4.84,0.91,-6.26,0.10,
0.698,-1.68,0.09,-4.84,0.83,-6.19,0.11,
0.701,-1.68,0.09,-4.84,0.75,-6.07,0.14,
0.707,-2.52,-0.09,-5.97,0.75,-6.07,0.14,
0.708,-2.52,-0.09,-5.97,0.65,-5.90,0.18,
0.708,-2.52,-0.09,-5.97,0.55,-5.69,0.24,
0.709,-2.87,-0.33,-6.65,0.55,-5.69,0.24,
0.709,-2.87,-0.33,-6.65,0.44,-5.44,0.31,
0.712,-2.87,-0.33,-6.65,0.33,-5.18,0.39,
0.713,-2.88,-0.53,-6.60,0.33,-5.18,0.39,
0.714,-2.88,-0.53,-6.60,0.23,-4.91,0.48,
0.717,-2.88,-0.53,-6.60,0.12,-4.65,0.58,
